"","logFC","logCPM","PValue","FDR"
"TRINITY_DN26_c0_g1_i1",-0.15924959446079,4.71059221535619,1,1
"TRINITY_DN1_c0_g1_i1",-0.157665418112315,4.71101743483568,1,1
"TRINITY_DN15_c0_g1_i10",0.119123561760993,5.16214679799903,1,1
"TRINITY_DN9_c0_g1_i1",-0.0790516537878354,5.68367819141301,1,1
"TRINITY_DN18_c0_g1_i1",0.0382591850635575,5.09747008858902,1,1
"TRINITY_DN8_c0_g1_i1",-0.0131127566726445,6.66352998980372,1,1
"TRINITY_DN23_c0_g1_i1",0,4.57582346997345,1,1
"TRINITY_DN15_c0_g1_i3",0,4.57582346997345,1,1
"TRINITY_DN15_c0_g1_i7",0,4.57582346997345,1,1
"TRINITY_DN15_c0_g1_i9",0,4.57582346997345,1,1
