"","logFC","logCPM","PValue","FDR"
"TRINITY_DN9_c0_g3_i2",1.98210587310932,16.1511027573591,2.28980875417944e-134,1.85474509088535e-132
"TRINITY_DN9_c0_g1_i2",2.40034094985563,13.626216920308,2.72672842546734e-57,1.10432501231427e-55
"TRINITY_DN15_c0_g3_i1",-1.20198304214151,15.4400213397577,4.80547264801318e-52,1.29747761496356e-50
"TRINITY_DN16_c0_g1_i6",1.56825933255187,13.6676327645148,3.08714939452566e-44,6.25147752391446e-43
"TRINITY_DN8_c0_g1_i15",-1.40071363913269,13.7932174243288,2.30985354287164e-30,3.74196273945206e-29
"TRINITY_DN14_c0_g2_i2",-0.894726998208206,15.5425799834688,5.19113967050812e-30,7.00803855518596e-29
"TRINITY_DN10_c0_g2_i1",0.855732146170307,14.9055489212807,4.12956547912515e-27,4.77849719727339e-26
"TRINITY_DN16_c0_g1_i1",-0.918576607970714,15.0412861831618,2.99151284553537e-23,3.02890675610456e-22
"TRINITY_DN16_c0_g2_i4",5.77967389101635,8.12767987872852,3.09416498869686e-12,2.78474848982717e-11
"TRINITY_DN9_c0_g2_i1",2.14516338692535,11.9762528146475,4.85323968024061e-11,3.9311241409949e-10
"TRINITY_DN10_c0_g2_i2",-4.99795936368981,7.56858427403594,1.31915436025302e-09,9.71377301640862e-09
"TRINITY_DN16_c0_g1_i7",-0.437574000081022,14.3819777160506,6.5204655004669e-05,0.000440131421281516
"TRINITY_DN8_c0_g1_i8",-3.56077229489442,11.5618039424302,0.000269292274542342,0.00167789801830229
"TRINITY_DN25_c0_g1_i1",5.2382334848415,5.70490246204277,0.000793228262766431,0.00458939209172006
"TRINITY_DN16_c0_g1_i3",1.421951481319,11.9676409205323,0.000957399799325369,0.00516995891635699
"TRINITY_DN15_c0_g2_i2",-0.84912991927308,12.9347629190379,0.00263359117213831,0.0133325553089502
"TRINITY_DN8_c0_g1_i5",-0.736242592263559,13.3030181283783,0.00615328826759276,0.0293186088044126
"TRINITY_DN8_c0_g1_i14",-2.5589647794975,11.3403888376553,0.00928272325511302,0.0417722546480086
"TRINITY_DN16_c0_g1_i8",-1.47592896847326,9.76519521157987,0.0145898715589354,0.0621989261196721
"TRINITY_DN17_c0_g2_i2",-0.18099350831986,18.2635312747589,0.0183934509991966,0.0727134748070597
"TRINITY_DN17_c0_g1_i1",0.181740359967968,16.3655733637023,0.0188516416166451,0.0727134748070597
"TRINITY_DN9_c0_g3_i1",1.13932000345702,11.2210923765177,0.0262524308671149,0.0966566772834685
